actmed,latitude,longitude,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Class_Freshman,Class_Junior,Class_Redshirt Freshman,Class_Senior,Class_Sophomore
25.0,36.1539816,-95.992775,0,0,0,1,0,1,0,0,0
25.0,39.78172130000001,-89.6501481,0,0,0,1,0,1,0,0,0
25.0,37.68717609999999,-97.330053,0,1,0,0,1,0,0,0,0
26.5,38.789217,-90.322614,0,0,1,0,0,0,0,1,0
26.5,36.1539816,-95.992775,0,0,1,0,0,0,0,1,0
26.5,36.09985959999999,-80.24421600000002,0,1,0,0,0,0,0,1,0
26.5,41.43169049999999,-72.11009449999997,1,0,0,0,0,1,0,0,0
26.5,31.549333,-97.1466695,0,1,0,0,0,0,0,1,0
26.5,32.7481845,-96.4719312,1,0,0,0,0,0,0,1,0
26.5,33.046233,-96.994174,0,0,0,1,0,0,0,1,0
26.5,32.735687,-97.10806559999999,0,1,0,0,0,0,0,1,0
26.5,32.7459645,-96.99778459999999,0,0,0,1,0,0,0,1,0
26.5,-19.9166813,-43.93449310000001,0,0,0,1,0,0,0,1,0
26.5,29.529399800000004,-95.2010447,0,1,0,0,0,0,0,1,0
26.5,33.046233,-96.994174,0,1,0,0,0,0,0,1,0
26.5,33.0198431,-96.6988856,0,1,0,0,0,0,0,1,0
26.5,33.2148412,-97.13306829999999,0,0,0,1,0,1,0,0,0
26.5,32.7766642,-96.7969879,1,0,0,0,0,0,0,1,0
26.5,36.3728538,-94.2088172,0,1,0,0,0,1,0,0,0
26.5,36.060949,-95.7974526,0,0,0,1,0,0,0,1,0
26.5,32.7554883,-97.3307658,1,0,0,0,0,0,0,1,0
26.5,-16.7754839,-47.6126678,0,0,0,1,0,0,0,1,0
26.5,36.1539816,-95.992775,1,0,0,0,0,0,0,1,0
26.5,37.74785720000001,-84.29465390000001,0,0,0,1,0,0,0,1,0
26.5,36.1626638,-86.78160159999999,0,1,0,0,0,1,0,0,0
26.5,37.20895720000001,-93.2922989,0,0,0,1,0,1,0,0,0
26.5,35.052565,-97.93643259999999,1,0,0,0,0,0,0,1,0
26.5,35.083975,-92.2079277,1,0,0,0,0,0,0,1,0
26.5,32.9029017,-96.56388,0,0,0,1,0,0,0,1,0
26.5,34.85261759999999,-82.3940104,0,0,1,0,0,0,0,1,0
31.0,36.3728538,-94.2088172,0,0,1,0,0,0,0,1,0
31.0,31.3112936,-92.4451371,1,0,0,0,0,0,0,1,0
31.0,33.5185892,-86.8103567,0,0,0,1,0,0,0,1,0
31.0,32.5420821,-97.3208492,1,0,0,0,0,0,0,1,0
31.0,34.7464809,-92.2895948,1,0,0,0,0,0,0,1,0
31.0,34.7464809,-92.2895948,0,0,0,1,0,0,0,1,0
31.0,31.124062,-97.9030785,0,1,0,0,0,0,0,1,0
31.0,35.84229670000001,-90.704279,0,1,0,0,0,0,0,1,0
31.0,38.6631083,-90.5770675,0,0,0,1,0,0,0,1,0
31.0,38.84670819999999,-91.94795859999999,0,0,0,1,0,0,0,1,0
31.0,33.5185892,-86.8103567,0,0,0,1,0,0,0,1,0
31.0,35.4675602,-97.5164276,0,0,0,1,0,0,0,1,0
31.0,32.5159852,-93.7321228,1,0,0,0,0,0,0,1,0
31.0,35.233971200000006,-92.387655,0,0,0,1,0,0,0,1,0
31.0,36.3047735,-86.6199957,1,0,0,0,0,0,0,1,0
31.0,38.9071923,-77.03687070000002,0,0,0,1,0,0,0,1,0
31.0,34.7464809,-92.2895948,0,1,0,0,0,0,0,1,0
31.0,36.3684245,-96.0013847,1,0,0,0,0,0,0,1,0
31.0,25.0443312,-77.35036090000001,0,0,0,1,0,0,0,1,0
31.0,29.4241219,-98.4936282,0,1,0,0,0,0,0,1,0
31.0,32.93123360000001,-96.4597089,0,0,0,1,0,0,0,1,0
31.0,38.84670819999999,-91.94795859999999,0,0,0,1,0,0,0,1,0
31.0,52.3666969,4.8945398,0,0,0,1,0,0,0,1,0
31.0,-1.9440727,30.0618851,0,1,0,0,0,0,0,1,0
31.0,45.5051064,-122.6750261,1,0,0,0,0,0,0,1,0
31.0,36.14424260000001,-93.8621399,0,0,0,1,0,0,0,1,0
31.0,38.6270025,-90.1994042,0,0,1,0,0,0,0,1,0
31.0,34.8150907,-92.2243153,0,0,0,1,0,0,0,1,0
31.0,-1.4918885,29.5571677,0,1,0,0,0,0,0,1,0
31.0,35.4603711,-94.7874463,0,0,0,1,0,0,0,1,0
31.0,37.0208865,-93.2060163,0,0,1,0,0,0,0,1,0
26.0,34.50370039999999,-93.0551795,0,0,1,0,0,0,0,1,0
26.0,33.425125,-94.0476882,0,0,1,0,0,0,0,1,0
26.0,32.9341893,-97.229298,1,0,0,0,0,0,0,1,0
26.0,36.1881365,-94.5404962,0,0,0,1,0,0,0,1,0
26.0,29.7604267,-95.3698028,1,0,0,0,0,0,0,1,0
26.0,32.5790251,-97.3625172,0,1,0,0,0,0,0,1,0
26.0,34.7464809,-92.2895948,1,0,0,0,0,0,0,1,0
26.0,33.0198431,-96.6988856,0,0,0,1,0,0,0,1,0
26.0,32.7592955,-97.7972544,0,0,0,1,0,0,0,1,0
26.0,32.93123360000001,-96.4597089,0,1,0,0,0,0,0,1,0
26.0,32.9545687,-97.01500779999999,0,1,0,0,0,0,0,1,0
26.0,34.7464809,-92.2895948,0,0,0,1,0,0,0,1,0
26.0,34.50370039999999,-93.0551795,1,0,0,0,0,0,0,1,0
26.0,32.5093109,-92.1193012,0,1,0,0,0,0,0,1,0
24.5,33.8674044,-117.9981387,0,0,1,0,0,0,0,1,0
24.5,37.6818688,-121.7684732,0,0,1,0,0,0,0,1,0
24.5,33.5968913,-117.6581562,0,0,1,0,0,0,0,1,0
24.5,45.415734,-122.7163273,0,0,0,1,0,0,0,1,0
24.5,19.041439800000006,-98.2062727,1,0,0,0,0,0,0,1,0
24.5,33.6188829,-117.9298493,0,0,0,1,0,0,0,1,0
24.5,37.3229978,-122.0321823,0,0,0,1,0,0,0,1,0
24.5,37.566535,126.9779692,0,0,0,1,0,0,0,1,0
24.5,34.055569299999995,-117.1825381,0,0,0,1,0,0,0,1,0
24.5,53.317473,9.334388,0,0,0,1,0,0,0,1,0
24.5,33.7454725,-117.867653,0,1,0,0,0,0,0,1,0
24.5,34.5362184,-117.2927641,0,0,0,1,0,0,0,1,0
24.5,38.3565773,-121.9877444,0,1,0,0,0,0,0,1,0
24.5,34.1066756,-117.8067257,0,0,0,1,0,0,0,1,0
24.5,47.30732279999999,-122.22845320000002,0,1,0,0,0,0,0,1,0
