,0,1,2
402,Barry University,Barry University,0.0
403,Mount Ida College,Mount Marty College,0.2631578947368421
404,Holy Cross College,Holy Cross College,0.0
405,Shippensburg University of Pennsylvania,Shippensburg University of Pennsylvania,0.0
406,Longwood University,Longwood University,0.0
407,Wittenberg University,Wittenberg University,0.0
408,Gettysburg College,Gettysburg College,0.0
409,Regis University,Regis University,0.0
410,Green Mountain College,Green Mountain College,0.0
411,Methodist University,Methodist University,0.0
412,Stevenson University,Stevenson University,0.0
413,John Carroll University,John Carroll University,0.0
414,Quinnipiac University,Quinnipiac University,0.0
415,Marietta College,Marietta College,0.0
416,Francis Marion University,Francis Marion University,0.0
417,Lander University,Lander University,0.0
418,Wheeling Jesuit University,Wheeling Jesuit University,0.0
419,Brewton-Parker College,Brewton-Parker College,0.0
420,LIU Post,LIM College,0.6363636363636364
421,University of California-Santa Cruz,University of California-Santa Cruz,0.0
422,Princeton University,Princeton University,0.0
423,Ripon College,Ripon College,0.0
424,Barton College,Barton College,0.0
425,Lindenwood University,Lindenwood University,0.0
426,Simmons College,Simpson College,0.2
427,Seton Hill University,Seton Hill University,0.0
428,College of Charleston,College of Charleston,0.0
429,College of William and Mary,College of William and Mary,0.0
430,SUNY at Albany,SUNY at Albany,0.0
431,Bellarmine University,Bellarmine University,0.0
432,University of Dayton,University of Dayton,0.0
433,Pitzer College,Pitzer College,0.0
434,University of Vermont,University of Vermont,0.0
435,King University,King University,0.0
436,Arizona Christian University,Arizona Christian University,0.0
437,Pomona College,Pomona College,0.0
438,Oregon State University,Oregon State University,0.0
439,Buena Vista University,Buena Vista University,0.0
440,Southwestern College,Southwestern College,0.0
441,DePaul University,DePaul University,0.0
442,University of Wisconsin-Whitewater,University of Wisconsin-Whitewater,0.0
443,Florida Atlantic University,Florida Atlantic University,0.0
444,Ferrum College,Ferrum College,0.0
445,Harding University,Harding University,0.0
446,Stanford University,Stanford University,0.0
447,Whitworth University,Whitworth University,0.0
448,Hastings College,Hastings College,0.0
449,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,0.0
450,Siena College,Siena College,0.0
451,University of South Carolina-Aiken,University of South Carolina-Aiken,0.0
452,Felician College,Meridian College,0.1875
453,Humboldt State University,Humboldt State University,0.0
454,Philadelphia University,Adelphi University,0.2608695652173913
455,Otterbein University,Otterbein University,0.0
456,Hamline University,Hamline University,0.0
457,State University of New York at New Paltz,State University of New York at New Paltz,0.0
458,Lesley University,Lesley University,0.0
459,Saint Louis University,Saint Louis University,0.0
460,Marquette University,Marquette University,0.0
461,Avila University,Avila University,0.0
462,University of Rochester,University of Rochester,0.0
463,Mercer University,Mercer University,0.0
464,Saint Vincent College,Saint Vincent College,0.0
465,Marist College,Marist College,0.0
466,St Bonaventure University,St Bonaventure University,0.0
467,McDaniel College,McDaniel College,0.0
468,SUNY College at Potsdam,SUNY College at Potsdam,0.0
469,Biola University,Biola University,0.0
470,Butler University,Butler University,0.0
471,Notre Dame de Namur University,Notre Dame de Namur University,0.0
472,Georgia Southwestern State University,Georgia Southwestern State University,0.0
473,Oakland University,Oakland University,0.0
474,California Maritime Academy,Maine Maritime Academy,0.25925925925925924
475,California State University-Fullerton,California State University-Fullerton,0.0
476,SUNY at Purchase College,SUNY at Purchase College,0.0
477,Guilford College,Guilford College,0.0
478,Utica College,Utica College,0.0
479,Manhattanville College,Manhattanville College,0.0
480,Metropolitan State University of Denver,Metropolitan State University of Denver,0.0
481,Colby College,Colby College,0.0
482,Carthage College,Carthage College,0.0
483,Alderson Broaddus University,Alderson Broaddus University,0.0
484,Caldwell College,Cogswell College,0.1875
485,Eckerd College,Eckerd College,0.0
486,Rollins College,Rollins College,0.0
487,Loyola Marymount University,Loyola Marymount University,0.0
488,Salve Regina University,Salve Regina University,0.0
489,Loyola Marymount University,Loyola Marymount University,0.0
490,Lafayette College,Lafayette College,0.0
491,University of San Diego,University of San Diego,0.0
492,Pennsylvania State University-Penn State Shenango,Pennsylvania State University-Penn State Shenango,0.0
493,Hanover College,Hanover College,0.0
494,Southern Virginia University,Southern Virginia University,0.0
495,University of Saint Joseph,University of Saint Joseph,0.0
496,University of Illinois at Springfield,University of Illinois at Springfield,0.0
497,Eastern Mennonite University,Eastern Mennonite University,0.0
498,Dallas Baptist University,Dallas Baptist University,0.0
499,Manchester University,Manchester University,0.0
500,George Washington University,George Washington University,0.0
501,University of Bridgeport,University of Bridgeport,0.0
